"NUTS_ID","area_m2","area_km2"
"AL021",3289266112.00522,3289.26611200522
"AL022",1734811906.0683,1734.8119060683
"AL034",3730363205.48994,3730.36320548994
"AL031",1732104705.91963,1732.10470591963
"AL032",2000225651.22409,2000.22565122409
"AL035",2503985617.48032,2503.98561748032
"AL033",2908718336.90163,2908.71833690163
"AT111",668168176.568747,668.168176568747
"AT112",1785348849.39189,1785.34884939189
"AT113",1491653519.51917,1491.65351951917
"AT121",3378752617.41256,3378.75261741256
"UKL1",12942478029.9424,12942.4780299424
"CH055",2170275759.90888,2170.27575990888
"CH056",7042670648.78276,7042.67064878276
"CH057",948787718.61453,948.78771861453
"CH061",1489966708.66533,1489.96670866533
"CH062",1089340546.49278,1089.34054649278
"CH063",860385100.517837,860.385100517837
"CH064",444803735.315547,444.803735315547
"CH065",268541849.003594,268.541849003594
"CH066",216060004.604261,216.060004604261
"CH070",2788079026.05816,2788.07902605816
"CY000",9240925342.13708,9240.92534213708
"CZ010",485420144.434538,485.420144434538
"CZ020",10952510892.4152,10952.5108924152
"CZ031",10273706743.3029,10273.7067433029
"CZ032",7708184074.63903,7708.18407463903
"CZ041",3269893369.65974,3269.89336965974
"CZ042",5318888781.62625,5318.88878162625
"CZ051",3051648076.11929,3051.64807611929
"CZ052",4726876579.60791,4726.87657960791
"CZ053",4614378938.90689,4614.37893890689
"CZ063",6697461098.74414,6697.46109874414
"CZ064",7239996393.55779,7239.99639355779
"CZ071",5155278352.58219,5155.27835258219
"CZ072",3969270177.88454,3969.27017788454
"CZ080",5433306853.97699,5433.30685397699
"DE111",182195092.088709,182.195092088709
"DE112",597047346.115687,597.047346115687
"DE113",574930394.817119,574.930394817119
"DE114",600957729.689255,600.957729689255
"DE115",717138746.452389,717.138746452389
"DE116",863889817.238413,863.889817238413
"DE117",82754741.7590837,82.7547417590837
"DE118",1212329132.219,1212.329132219
"DE119",728197973.65015,728.19797365015
"DE11A",1520896712.84638,1520.89671284638
"DE11B",1332456021.56383,1332.45602156383
"DE11C",613668717.645345,613.668717645345
"DE11D",1457947911.1099,1457.9479111099
"DE121",116999182.726785,116.999182726785
"DE122",143816197.242046,143.816197242046
"DE123",1086549376.39512,1086.54937639512
"DE124",776959912.0892,776.9599120892
"DE125",92513811.4224115,92.5138114224115
"DE126",106448814.329787,106.448814329787
"TR21",18793566868.0088,18793.5668680088
"TR22",23614537790.6356,23614.5377906356
"TR31",11458853938.0743,11458.8539380743
"TR32",31855378254.5058,31855.3782545058
"TR33",45954973198.5277,45954.9731985277
"TR41",29082689693.8216,29082.6896938216
"TR42",20292178799.2565,20292.1787992565
"TR51",25512943422.3421,25512.9434223421
"DE234",1260999307.97096,1260.99930797096
"DE235",1582451117.30396,1582.45111730396
"DE236",1334165206.71284,1334.16520671284
"DE237",1411855872.00598,1411.85587200598
"DE238",1458924198.13806,1458.92419813806
"DE239",1469933698.24517,1469.93369824517
"DE23A",1028948819.32676,1028.94881932676
"DE241",64476682.4468883,64.4766824468882
"DE242",64435269.150385,64.435269150385
"DE243",64016063.7926824,64.0160637926824
"DE244",63951325.1404203,63.9513251404203
"DE245",1192302077.44968,1192.30207744968
"DE246",1305499893.138,1305.499893138
"DE247",532328471.306896,532.328471306896
"DE248",621020461.013998,621.020461013998
"DE249",969477297.258282,969.477297258282
"DE24A",707981626.768688,707.981626768688
"DE24B",639613930.834704,639.613930834704
"DE24C",490292701.158702,490.292701158702
"DE24D",498330389.911272,498.330389911272
"DE251",86118739.1529076,86.1187391529076
"DE252",57533400.9763135,57.5334009763135
"DE253",51904012.6072374,51.9040126072374
"UKE4",1972159300.94582,1972.15930094582
"UKF1",4799145388.13708,4799.14538813709
"UKF2",5014430352.44672,5014.43035244672
"UKF3",5943810582.72017,5943.81058272017
"UKG1",6025475767.6814,6025.4757676814
"UKG2",6013963159.68021,6013.96315968021
"UKG3",784323562.811235,784.323562811235
"UKH1",12412891763.5098,12412.8917635098
"UKH2",2831091951.76409,2831.09195176409
"UKH3",3414590991.1981,3414.5909911981
"UKI3",107687272.136608,107.687272136608
"UKI4",188722485.436155,188.722485436155
"UKI5",423738386.88693,423.73838688693
"UKI6",320422124.746985,320.422124746985
"NL12",3898279083.54553,3898.27908354553
"NL13",2666910033.08768,2666.91003308768
"NL21",3404681176.99719,3404.68117699719
"NL22",5135120465.04953,5135.12046504953
"NL23",2293288454.00391,2293.28845400391
"NL31",1530849817.16524,1530.84981716524
"NL32",3475069140.24723,3475.06914024723
"NL33",3233819381.35923,3233.81938135923
"NL34",1947005576.41352,1947.00557641352
"NL41",5000534520.85829,5000.53452085829
"NL42",2225428959.95966,2225.42895995966
"PL21",15193841530.3348,15193.8415303348
"PL22",12383986024.7925,12383.9860247925
"PL41",29793364074.2471,29793.3640742471
"PL42",22519154261.0353,22519.1542610353
"PL43",14020402585.0364,14020.4025850364
"PL51",20031221207.1192,20031.2212071192
"PL52",9398966335.32966,9398.96633532966
"PL61",18062698473.3802,18062.6984733802
"PL62",24110208589.3251,24110.2085893251
"PL63",18219015157.0773,18219.0151570773
"DK032",8786287711.12683,8786.28771112683
"DK041",7207933282.9514,7207.9332829514
"DK042",6026471700.73525,6026.47170073525
"DK050",8152879489.64545,8152.87948964545
"EE001",4284384163.57779,4284.38416357779
"EE004",11186814634.7384,11186.8146347384
"EE009",9138876038.27913,9138.87603827913
"DEA16",81265196.4504224,81.2651964504224
"DEA17",80022958.2195214,80.0229582195214
"DEA18",57323545.3587692,57.3235453587692
"DEA19",65629448.8371674,65.6294488371674
"DEA1A",142983032.81546,142.98303281546
"DEA1B",1278720568.09245,1278.72056809245
"DE127",1078627364.9429,1078.6273649429
"DE128",1043206260.7024,1043.2062607024
"DE129",59419298.7590433,59.4192987590433
"DE12A",877488628.003863,877.488628003862
"DE12B",536692392.062626,536.692392062626
"DE12C",855043415.844969,855.043415844969
"DE131",85711078.4943691,85.7110784943691
"DE132",1355148175.13879,1355.14817513879
"DE133",765028831.395006,765.028831395006
"DE134",1900042765.83047,1900.04276583047
"DE135",770081907.42769,770.08190742769
"DE136",1016610779.52367,1016.61077952367
"DE137",709144668.207765,709.144668207765
"DE138",894626964.998886,894.626964998886
"DE139",834619364.502413,834.619364502413
"DE13A",1101934391.2118,1101.9343912118
"DE141",1160936757.86438,1160.93675786438
"DE142",497753593.003827,497.753593003827
"DE143",966283413.30794,966.28341330794
"DE144",97020896.6070762,97.0208966070762
"DE145",1427664145.52428,1427.66414552428
"DE146",1332197839.71068,1332.19783971068
"DE147",934173774.774906,934.173774774906
"DE148",1702220021.26674,1702.22002126674
"DE149",1240561528.75249,1240.56152875249
"DE211",101966559.864635,101.966559864635
"DE212",286453812.58426,286.45381258426
"DE213",67155770.498966,67.155770498966
"DE214",534373189.895619,534.373189895619
"DE215",789992273.178559,789.992273178559
"DE216",1072601400.14056,1072.60140014056
"DE217",603951515.378482,603.951515378482
"DE218",446622383.064395,446.622383064395
"DE219",1292533987.81115,1292.53398781115
"DE21A",845214091.582459,845.214091582459
"DE21B",791837541.155241,791.837541155242
"DE21C",408028116.18789,408.02811618789
"DE21D",961890296.17569,961.89029617569
"DE21E",817582944.760367,817.582944760367
"DE21F",826676692.274305,826.676692274305
"DE21G",836806984.789559,836.806984789559
"DE21H",773233297.920674,773.233297920674
"DE21I",728110484.451639,728.110484451639
"DE21J",744449275.116468,744.449275116468
"DE21K",1490642646.77276,1490.64264677276
"DE21L",450629650.195319,450.629650195319
"DE21M",1542350002.27194,1542.35000227194
"DE21N",1043590803.44375,1043.59080344375
"DE221",66276777.4494014,66.2767774494014
"DE222",58193403.9700907,58.1934039700907
"DE223",65832277.8983252,65.8322778983252
